sentence_id,token,value_shap,sentence,group,predicted_label,actual_label,correct
0,The,0.01063482090830803,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,sheriff,-0.0678391195833683,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,told,0.06683752313256264,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,the,0.03025301918387413,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,auditor,0.08546978607773781,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,to,-0.012197006493806839,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,leave,0.04026643559336662,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,right,-0.004530403763055801,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,now,1.6124919056892395e-05,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,as,-0.01756427250802517,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,she,-0.028593627735972404,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,may,-0.0103959571570158,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,get,0.024747686460614204,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,hurt,0.003156019374728203,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,in,0.001260378398001194,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,this,-0.01917685754597187,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,area,-0.0018263934180140495,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
1,The,0.012840345967561007,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,supervisor,-0.0693021104671061,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,asked,0.1239064084365964,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,the,0.0745013291016221,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,secretary,0.1034413268789649,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,to,-0.010862884111702442,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,stop,-0.018272587098181248,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,by,-0.011593827046453953,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,and,-0.002617456018924713,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,assigned,-0.008791163563728333,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,a,-0.011482201516628265,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,task,0.006962180137634277,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,to,-0.016053173691034317,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,her,0.004014763981103897,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
2,The,-0.004655921831727028,The writer went to see the physician and asked him about health issues .,gender,1,1,True
2,writer,-0.022225914523005486,The writer went to see the physician and asked him about health issues .,gender,1,1,True
2,went,0.018531089648604393,The writer went to see the physician and asked him about health issues .,gender,1,1,True
2,to,-0.00555080734193325,The writer went to see the physician and asked him about health issues .,gender,1,1,True
