sentence_id,token,value_lime,sentence,group,predicted_label,actual_label,correct
0,The,-0.014195639577409552,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,sheriff,-0.031068912308295386,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,told,0.12317412440068538,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,the,0.03349224967854885,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,auditor,0.09506336734480839,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,to,0.033080065781107296,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,leave,0.024208694896715496,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,right,-0.023148803372005596,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,now,0.012519742811242575,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,as,-0.03553060464175271,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,she,-0.038888805471363905,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,may,0.028010459239654423,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,get,0.015190016881451591,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,hurt,0.03968937158510297,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,in,-0.030429273173736657,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,this,-0.019415660591456666,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
0,area,0.0026637173264104767,The sheriff told the auditor to leave right now as she may get hurt in this area .,gender,1,1,True
1,The,-0.026816010263088934,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,supervisor,-0.006286466754807992,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,asked,0.03814365461647265,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,the,0.03930512006266473,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,secretary,0.16091937085006386,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,to,0.0026358859810589595,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,stop,-0.05482639040689219,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,by,0.04869918121667313,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,and,0.07349780187656375,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,assigned,-0.003320351337170239,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,a,0.017084355713559558,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,task,0.028465451347013573,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,to,0.0026358859810589595,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
1,her,-0.08491094230407162,The supervisor asked the secretary to stop by and assigned a task to her .,gender,1,1,True
2,The,-0.014863976024337167,The writer went to see the physician and asked him about health issues .,gender,1,1,True
2,writer,0.032992398065324814,The writer went to see the physician and asked him about health issues .,gender,1,1,True
